customerid,age,gender,category,orderdate,shipdate,deliverytimedays,latedeliveryflag,unitprice,quantity,discountpercent,revenue,profit,totalordersbycustomer,customerlifetimevalue,campaignname,adspend,shippingprovider,highriskcustomerflag,shippingcost,paymentmethod,customersegment,returned,devicetype,orderstatus,warehouselocation,acquisitionchannel,productcostinr,grossmargininr,couponcodeused,calculated_profit,order_year,order_month,order_day,order_weekday,profit_margin_percent,,,,,,,,
CUST01090,61,Male,Beauty,05-11-2022,10-11-2022,5,No,3447.53,4,15,11721.602,1950.13196,20,86402.33313,Festive Sale,579.52,Ecomexpress,No,126.74,Credit Card,New,No,Mobile,Returned,Delhi Wh,Google Ads,18775.45592,1405.575806,Yes,-7053.85392,2022,11,5,Saturday,16.63707708,,,,,,,,CUST03589
CUST00086,43,Female,Home,18-05-2023,22-05-2023,4,No,5876.6,4,10,21155.76,7503.367016,11,77672.1051,Clearance,0,Ecomexpress,Yes,113.26,Debit Card,New,No,Mobile,Delivered,Bangalore Wh,Email,12945.97012,4945.653224,Yes,8209.78988,2023,5,18,Thursday,35.46725344,,,,,,,,CUST03977
CUST03573,56,Female,Home,31-05-2023,12-06-2023,12,Yes,3647.42,5,5,17325.245,4640.4133,32,133703.3012,Clearance,460.89,Ecomexpress,No,206.81,Net Banking,At Risk,Yes,Mobile,Delivered,Bangalore Wh,Email,16442.34,4923.209498,Yes,882.905,2023,5,31,Wednesday,26.78411359,,,,,,,,CUST03680
CUST00435,50,Female,Electronics,06-05-2024,12-05-2024,6,No,1549.71,1,15,1317.2535,357.7865412,30,4488.103664,No Campaign,99.78,Ecomexpress,No,299,Net Banking,Loyal,No,Mobile,Delivered,Mumbai Wh,Email,4750.474558,4677.121961,Yes,-3433.221058,2024,5,6,Monday,27.16155555,,,,,,,,CUST00374
CUST03698,42,Female,Electronics,24-06-2022,26-06-2022,2,No,702.37,4,20,2247.584,681.7813304,31,18744.77273,No Campaign,603.95,Not Assigned,Yes,238.52,Credit Card,Loyal,No,Mobile,Delivered,Mumbai Wh,Organic,2226.240392,169.698255,Yes,21.343608,2022,6,24,Friday,30.3339644,,,,,,,,CUST00049
CUST02206,24,Male,Home,01-11-2023,06-11-2023,5,No,4931.5,5,10,22191.75,8257.114005,46,135907.0286,No Campaign,0,Delhivery,No,93.55,Upi,Returning,No,Unknown,Delivered,Delhi Wh,Facebook Ads,7648.521187,857.1547325,Yes,14543.22881,2023,11,1,Wednesday,37.20803454,,,,,,,,CUST00320
CUST00628,23,Male,Electronics,26-07-2024,04-08-2024,9,No,5786.85,2,0,11573.7,4951.896783,26,36749.34573,Festive Sale,533.37,Ecomexpress,No,124.65,Credit Card,New,No,Mobile,Shipped,Ahmedabad Wh,Organic,8023.181123,2807.007815,No,3550.518877,2024,7,26,Friday,42.78577104,,,,,,,,CUST01522
CUST01639,19,Male,Sports,30-07-2022,05-08-2022,6,No,4565.04,4,15,15521.136,4950.308201,39,41556.03575,New Year Blast,146.86,Delhivery,Yes,159.08,Debit Card,Loyal,No,Unknown,Shipped,Mumbai Wh,Email,15766.83307,1017.712808,Yes,-245.69707,2022,7,30,Saturday,31.89398122,,,,,,,,CUST02711
CUST01112,36,Male,Beauty,04-12-2023,14-12-2023,10,Yes,283.2,5,0,1416,-28.0567426,45,2965.417435,Festive Sale,159.23,Not Assigned,Yes,248.64,Debit Card,At Risk,No,Unknown,Delivered,Ahmedabad Wh,Referral,8244.630731,4288.773534,No,-6828.630731,2023,12,4,Monday,-1.981408376,,,,,,,,CUST01611
CUST03437,58,Male,Clothing,02-05-2023,10-05-2023,8,Yes,4760.23,6,5,27133.311,10065.28226,11,183526.8833,Summer Bonanza,454.31,Ecomexpress,No,228.27,Debit Card,Returning,No,Mobile,Delivered,Ahmedabad Wh,Referral,4884.724638,3528.714323,Yes,22248.58636,2023,5,2,Tuesday,37.0956654,,,,,,,,CUST00999
CUST03851,55,Male,Toys,25-12-2024,04-01-2025,10,Yes,2827.57,1,0,2827.57,849.313628,22,16068.67755,Summer Bonanza,0,Ecomexpress,Yes,146.19,Upi,Loyal,Yes,Tablet,Delivered,Bangalore Wh,Organic,17749.54216,1002.005356,No,-14921.97216,2024,12,25,Wednesday,30.03687364,,,,,,,,CUST01408
CUST00905,24,Male,Electronics,11-07-2023,19-07-2023,8,Yes,276.36,6,0,1658.16,248.0008066,4,5985.017229,Summer Bonanza,185.6,Bluedart,No,124.64,Debit Card,At Risk,No,Mobile,Delivered,Bangalore Wh,Google Ads,13412.5724,2541.541761,No,-11754.4124,2023,7,11,Tuesday,14.95638579,,,,,,,,CUST03298
CUST00759,29,Male,Electronics,25-02-2024,04-03-2024,8,Yes,5022.58,6,5,28628.706,12540.22387,35,139176.9908,No Campaign,0,Not Assigned,No,198.04,Upi,At Risk,Yes,Unknown,Delivered,Bangalore Wh,Organic,4300.830379,3577.587387,Yes,24327.87562,2024,2,25,Sunday,43.80297129,,,,,,,,CUST01045
CUST01454,59,Male,Electronics,01-10-2024,09-10-2024,8,Yes,1957,6,15,9980.7,2353.660199,17,22681.1972,Festive Sale,187.34,Indiapost,No,237.28,Cash On Delivery,At Risk,No,Tablet,Delivered,Delhi Wh,Organic,4255.278143,785.1606827,Yes,5725.421857,2024,10,1,Tuesday,23.58211547,,,,,,,,CUST00830
CUST02915,64,Male,Toys,26-04-2024,08-05-2024,12,Yes,2028.61,6,0,12171.66,5731.723967,21,42200.61207,New Year Blast,0,Ecomexpress,No,174.79,Cash On Delivery,Loyal,Yes,Unknown,Delivered,Ahmedabad Wh,Email,9928.833342,2637.478018,No,2242.826658,2024,4,26,Friday,47.09073345,,,,,,,,CUST03757
CUST03671,60,Male,Electronics,13-09-2022,22-09-2022,9,Yes,3938.33,4,15,13390.322,6148.755491,2,89202.16395,No Campaign,482.57,Delhivery,No,105.89,Debit Card,At Risk,Yes,Tablet,Delivered,Mumbai Wh,Facebook Ads,10712.23237,3904.056482,Yes,2678.08963,2022,9,13,Tuesday,45.91939978,,,,,,,,CUST01735
CUST00080,53,Male,Electronics,04-04-2022,12-04-2022,8,Yes,5725.34,3,5,16317.219,2955.353369,17,71827.34845,No Campaign,0,Delhivery,No,121.73,Credit Card,Loyal,No,Unknown,Delivered,Mumbai Wh,Email,5270.687232,1793.377528,Yes,11046.53177,2022,4,4,Monday,18.11186924,,,,,,,,CUST00001
CUST01998,55,Female,Home,27-05-2023,08-06-2023,12,Yes,3736.99,5,10,16816.455,3004.23845,23,165415.061,No Campaign,607.86,Bluedart,No,91.9,Unknown,Loyal,Yes,Desktop,Delivered,Mumbai Wh,Facebook Ads,2642.733937,1015.435411,Yes,14173.72106,2023,5,27,Saturday,17.86487372,,,,,,,,CUST00851
CUST00921,31,Male,Clothing,08-11-2023,10-11-2023,2,No,2556.72,5,10,11505.24,4909.86471,24,65015.40666,Clearance,516.15,Delhivery,Yes,51.68,Debit Card,New,No,Tablet,Delivered,Delhi Wh,Email,7391.433554,3233.393135,Yes,4113.806446,2023,11,8,Wednesday,42.67503077,,,,,,,,CUST01741
CUST03627,35,Male,Sports,14-09-2023,19-09-2023,5,No,1646.88,2,5,3129.072,440.2496753,1,16408.49081,New Year Blast,591.68,Bluedart,No,219.91,Unknown,New,No,Unknown,Shipped,Bangalore Wh,Email,8695.847739,3255.946881,Yes,-5566.775739,2023,9,14,Thursday,14.06965628,,,,,,,,CUST00665
CUST01638,49,Male,Electronics,23-08-2023,01-09-2023,9,Yes,2078.96,5,0,10394.8,4294.632383,28,65693.70063,Festive Sale,0,Not Assigned,No,277.2,Net Banking,At Risk,No,Mobile,Delivered,Bangalore Wh,Google Ads,1240.327224,1101.303305,No,9154.472776,2023,8,23,Wednesday,41.31519974,,,,,,,,CUST01603
CUST00091,42,Female,Toys,08-09-2023,12-09-2023,4,No,3999.38,4,0,15997.52,5141.557025,39,109985.78,Clearance,0,Bluedart,No,132.27,Unknown,Loyal,No,Tablet,Delivered,Mumbai Wh,Facebook Ads,11379.86884,439.8152138,No,4617.65116,2023,9,8,Friday,32.13971306,,,,,,,,CUST01848
CUST03082,35,Female,Home,13-03-2024,19-03-2024,6,No,1147.26,1,5,1089.897,104.2724974,19,5831.801119,Clearance,567.83,Bluedart,No,114.04,Cash On Delivery,At Risk,Yes,Mobile,Delivered,Bangalore Wh,Email,239.8112023,915.6106541,Yes,850.0857977,2024,3,13,Wednesday,9.567188221,,,,,,,,CUST03517
CUST00541,19,Male,Health,14-11-2024,20-11-2024,6,No,4814.39,3,10,12998.853,3421.762203,31,75374.35376,Festive Sale,0,Delhivery,Yes,131.26,Upi,Returning,No,Desktop,Shipped,Bangalore Wh,Email,3193.224488,1450.08375,Yes,9805.628512,2024,11,14,Thursday,26.32357026,,,,,,,,CUST01669
CUST00661,59,Male,Home,03-08-2024,12-08-2024,9,Yes,3034.53,4,20,9710.496,2420.685134,1,93879.27613,No Campaign,669.02,Indiapost,Yes,139.96,Upi,At Risk,No,Mobile,Delivered,Delhi Wh,Facebook Ads,3109.800027,277.762788,Yes,6600.695973,2024,8,3,Saturday,24.92854262,,,,,,,,CUST03660
CUST00628,26,Male,Electronics,03-03-2022,12-03-2022,9,No,723.37,2,0,1446.74,404.5689604,38,7722.985768,Festive Sale,0,Ecomexpress,No,42.79,Unknown,Loyal,Yes,Tablet,Delivered,Ahmedabad Wh,Google Ads,13813.58097,4621.384804,No,-12366.84097,2022,3,3,Thursday,27.9641788,,,,,,,,CUST02846
CUST01480,18,Female,Sports,27-02-2023,04-03-2023,5,No,4722.34,1,5,4486.223,881.2477095,10,8700.253072,No Campaign,0,Indiapost,No,65.73,Cash On Delivery,Unknown,No,Tablet,Delivered,Ahmedabad Wh,Facebook Ads,9820.656361,1229.465976,Yes,-5334.433361,2023,2,27,Monday,19.64342186,,,,,,,,CUST01151
CUST03009,38,Male,Electronics,06-07-2022,09-07-2022,3,No,996.68,3,5,2840.538,977.4075619,1,13610.62899,Clearance,0,Indiapost,No,60.01,Debit Card,Unknown,Yes,Unknown,Cancelled,Delhi Wh,Google Ads,16753.51892,3720.704129,Yes,-13912.98092,2022,7,6,Wednesday,34.40924085,,,,,,,,CUST01950
CUST03573,59,Male,Electronics,25-07-2023,02-08-2023,8,Yes,1397.95,6,0,8387.7,2925.977599,29,48061.29767,Summer Bonanza,166.11,Ecomexpress,No,118.78,Cash On Delivery,Loyal,Yes,Desktop,Returned,Delhi Wh,Google Ads,5444.003154,2131.82181,No,2943.696846,2023,7,25,Tuesday,34.88414701,,,,,,,,CUST03952
CUST01787,34,Male,Beauty,28-09-2022,06-10-2022,8,No,4587.2,3,10,12385.44,5891.986358,16,35102.87902,Summer Bonanza,335.74,Bluedart,No,77.84,Debit Card,At Risk,Yes,Unknown,Delivered,Bangalore Wh,Referral,4369.372707,2559.720733,Yes,8016.067293,2022,9,28,Wednesday,47.57187761,,,,,,,,CUST03837
CUST00386,36,Female,Electronics,06-08-2024,12-08-2024,6,No,268.12,3,0,804.36,65.5214386,29,3596.860228,Festive Sale,551.14,Bluedart,Yes,269.45,Credit Card,Returning,No,Tablet,Shipped,Delhi Wh,Google Ads,16097.32279,2731.019607,No,-15292.96279,2024,8,6,Tuesday,8.145785295,,,,,,,,CUST00404
CUST01591,47,Male,Health,22-11-2022,27-11-2022,5,No,1512.96,2,5,2874.624,509.8575411,30,26886.42564,Clearance,652.18,Delhivery,Yes,163.29,Debit Card,New,Yes,Desktop,Returned,Bangalore Wh,Referral,8995.240893,3886.699436,Yes,-6120.616893,2022,11,22,Tuesday,17.73649497,,,,,,,,CUST03545
CUST01129,25,Male,Toys,18-10-2022,27-10-2022,9,Yes,2437.5,1,10,2193.75,561.4336687,9,19578.15649,Clearance,539.58,Delhivery,Yes,215.95,Credit Card,Unknown,Yes,Unknown,Returned,Ahmedabad Wh,Organic,5629.766545,3960.773912,Yes,-3436.016545,2022,10,18,Tuesday,25.59241795,,,,,,,,CUST00242
CUST02438,42,Female,Clothing,22-11-2023,26-11-2023,4,No,782.28,6,0,4693.68,730.5125609,7,35807.71613,Clearance,0,Indiapost,No,198.61,Unknown,Unknown,Yes,Tablet,Delivered,Delhi Wh,Google Ads,8481.543972,792.2374024,No,-3787.863972,2023,11,22,Wednesday,15.56374872,,,,,,,,CUST02279
CUST02297,20,Female,Sports,06-05-2022,18-05-2022,12,Yes,4118.41,3,20,9884.184,2545.898707,47,78449.79736,Clearance,0,Ecomexpress,Yes,192.36,Credit Card,Loyal,Yes,Unknown,Delivered,Ahmedabad Wh,Referral,11527.73163,2907.890204,Yes,-1643.54763,2022,5,6,Friday,25.75729779,,,,,,,,CUST01896
CUST00842,34,Male,Sports,26-07-2024,31-07-2024,5,No,4378.64,1,0,4378.64,1870.181968,31,16177.82758,Clearance,0,Delhivery,Yes,125.69,Upi,Loyal,No,Unknown,Cancelled,Ahmedabad Wh,Organic,945.7933372,1718.989771,No,3432.846663,2024,7,26,Friday,42.71148046,,,,,,,,CUST01164
CUST02782,46,Male,Health,27-09-2023,28-09-2023,1,No,5763.5,3,15,14696.925,5983.338085,29,54779.40617,Clearance,640.15,Indiapost,No,235.13,Net Banking,New,Yes,Tablet,Delivered,Ahmedabad Wh,Google Ads,9444.502867,2101.327766,Yes,5252.422133,2023,9,27,Wednesday,40.71149635,,,,,,,,CUST03023
CUST00688,20,Male,Health,15-01-2022,16-01-2022,1,No,469.24,1,15,398.854,85.20025023,22,3390.54331,Clearance,0,Not Assigned,No,101.69,Unknown,Unknown,Yes,Tablet,Delivered,Delhi Wh,Facebook Ads,10937.40272,1170.277274,Yes,-10538.54872,2022,1,15,Saturday,21.36126257,,,,,,,,CUST02299
CUST03919,49,Female,Electronics,19-02-2023,22-02-2023,3,No,3896.93,4,0,15587.72,4896.747338,46,76846.47072,New Year Blast,0,Not Assigned,No,265.46,Cash On Delivery,Loyal,No,Tablet,Cancelled,Delhi Wh,Google Ads,3343.360993,803.0218967,No,12244.35901,2023,2,19,Sunday,31.41413458,,,,,,,,CUST01137
CUST02021,34,Male,Toys,27-08-2024,01-09-2024,5,No,4094.24,6,0,24565.44,3625.858779,1,36977.70121,Clearance,0,Bluedart,No,190.12,Credit Card,At Risk,Yes,Desktop,Shipped,Bangalore Wh,Email,4033.724078,1589.73883,No,20531.71592,2024,8,27,Tuesday,14.75999933,,,,,,,,CUST02115
CUST01416,53,Female,Health,07-03-2024,11-03-2024,4,No,3347.42,2,0,6694.84,3177.326143,7,55986.39349,New Year Blast,0,Delhivery,Yes,146.15,Upi,Loyal,No,Unknown,Delivered,Delhi Wh,Organic,14606.53785,1568.472294,No,-7911.69785,2024,3,7,Thursday,47.45932902,,,,,,,,CUST00027
CUST02658,44,Male,Home,05-11-2024,06-11-2024,1,No,350.3,6,5,1996.71,423.1511136,13,7408.417887,Summer Bonanza,426.54,Ecomexpress,No,127.09,Cash On Delivery,Unknown,Yes,Mobile,Shipped,Ahmedabad Wh,Email,15754.03179,576.2670059,Yes,-13757.32179,2024,11,5,Tuesday,21.19241721,,,,,,,,CUST03597
CUST00289,27,Male,Toys,17-02-2024,22-02-2024,5,No,1129.26,1,0,1129.26,204.5371015,36,3126.106206,Festive Sale,624.11,Indiapost,No,167.55,Credit Card,New,No,Mobile,Delivered,Bangalore Wh,Email,1687.821408,2962.17574,No,-558.561408,2024,2,17,Saturday,18.11248973,,,,,,,,CUST02797
CUST01414,55,Male,Electronics,01-05-2024,02-05-2024,1,No,3446.58,1,5,3274.251,1116.121302,42,17295.82786,Festive Sale,557.59,Bluedart,No,143.54,Debit Card,At Risk,No,Desktop,Shipped,Ahmedabad Wh,Referral,19803.58535,1640.284286,Yes,-16529.33435,2024,5,1,Wednesday,34.08783572,,,,,,,,CUST00659
CUST03824,36,Male,Sports,27-02-2023,04-03-2023,5,No,3090.6,1,20,2472.48,708.571286,7,21797.77964,New Year Blast,0,Delhivery,No,61.62,Cash On Delivery,New,Yes,Tablet,Delivered,Mumbai Wh,Email,8775.852256,949.1069946,Yes,-6303.372256,2023,2,27,Monday,28.65832225,,,,,,,,CUST02683
CUST00443,39,Male,Electronics,09-10-2024,15-10-2024,6,No,970.52,4,0,3882.08,692.6304413,3,28660.25831,Festive Sale,639.64,Delhivery,Yes,216.14,Cash On Delivery,New,Yes,Unknown,Delivered,Bangalore Wh,Organic,11797.86859,4111.125998,No,-7915.78859,2024,10,9,Wednesday,17.84173539,,,,,,,,CUST02865
CUST01818,30,Female,Home,11-02-2023,22-02-2023,11,Yes,5165.66,6,5,29444.262,11697.08346,21,153312.3482,Festive Sale,0,Delhivery,No,186.61,Upi,Loyal,Yes,Tablet,Delivered,Bangalore Wh,Facebook Ads,7051.230864,2326.028073,Yes,22393.03114,2023,2,11,Saturday,39.72618998,,,,,,,,CUST02803
CUST01096,33,Male,Electronics,29-03-2022,31-03-2022,2,No,265.95,3,0,797.85,52.43474582,39,5139.714218,No Campaign,454.91,Delhivery,No,275.95,Cash On Delivery,At Risk,Yes,Unknown,Shipped,Delhi Wh,Google Ads,10986.85409,2231.235379,No,-10189.00409,2022,3,29,Tuesday,6.572005492,,,,,,,,CUST02313
CUST03047,28,Male,Health,19-01-2023,21-01-2023,2,No,3564.45,2,15,6059.565,907.9236635,39,27335.91849,Clearance,0,Ecomexpress,No,60.79,Unknown,Returning,Yes,Tablet,Delivered,Ahmedabad Wh,Facebook Ads,11751.36117,3388.631065,Yes,-5691.79617,2023,1,19,Thursday,14.98331421,,,,,,,,CUST03684
CUST01224,36,Female,Electronics,11-12-2022,17-12-2022,6,No,4433.66,6,10,23941.764,5176.721051,44,44895.57487,Summer Bonanza,233.54,Indiapost,Yes,184.26,Unknown,New,No,Desktop,Delivered,Bangalore Wh,Facebook Ads,15263.10371,2008.059554,Yes,8678.66029,2022,12,11,Sunday,21.62213716,,,,,,,,CUST00919
CUST02647,42,Female,Sports,12-08-2024,21-08-2024,9,Yes,1890.29,3,10,5103.783,2275.505368,30,9477.938487,Clearance,275.08,Indiapost,Yes,273.45,Unknown,At Risk,Yes,Tablet,Delivered,Delhi Wh,Google Ads,13303.49012,2612.309776,Yes,-8199.70712,2024,8,12,Monday,44.58468097,,,,,,,,CUST01166
CUST02645,42,Female,Home,01-12-2023,13-12-2023,12,Yes,1428.1,1,0,1428.1,438.3146881,30,4918.556477,New Year Blast,579.5,Bluedart,Yes,204.18,Net Banking,Loyal,Yes,Desktop,Delivered,Delhi Wh,Organic,9044.206951,4551.410848,No,-7616.106951,2023,12,1,Friday,30.69215658,,,,,,,,CUST01568
CUST00558,56,Female,Clothing,01-11-2024,02-11-2024,1,No,5970.35,2,0,11940.7,3022.684135,15,27500.65713,Summer Bonanza,0,Delhivery,No,120.68,Upi,Loyal,Yes,Unknown,Delivered,Delhi Wh,Referral,3988.346112,924.5836468,No,7952.353888,2024,11,1,Friday,25.31412844,,,,,,,,CUST02604
CUST01483,33,Female,Electronics,25-01-2022,28-01-2022,3,No,3686.87,4,15,12535.358,3419.244229,42,89815.0187,Summer Bonanza,0,Indiapost,Yes,76.93,Upi,New,Yes,Mobile,Delivered,Mumbai Wh,Email,698.1684073,616.9878006,Yes,11837.18959,2022,1,25,Tuesday,27.27679759,,,,,,,,CUST03406
CUST00430,26,Male,Home,16-03-2022,28-03-2022,12,Yes,1029.07,2,0,2058.14,447.4716473,21,15320.67328,Festive Sale,157.16,Indiapost,Yes,87.7,Upi,Unknown,Yes,Desktop,Delivered,Delhi Wh,Referral,13106.70723,3759.115801,No,-11048.56723,2022,3,16,Wednesday,21.74155535,,,,,,,,CUST01550
CUST03415,51,Female,Sports,09-10-2023,14-10-2023,5,No,4805.42,3,10,12974.634,2068.097109,50,19803.82378,New Year Blast,0,Indiapost,No,126.95,Unknown,Loyal,No,Mobile,Delivered,Bangalore Wh,Email,9658.556386,3740.217842,Yes,3316.077614,2023,10,9,Monday,15.93954102,,,,,,,,CUST03822
CUST03841,64,Female,Electronics,10-01-2022,15-01-2022,5,No,2212.5,2,15,3761.25,1146.189573,5,36692.94031,New Year Blast,0,Indiapost,No,82.87,Cash On Delivery,At Risk,No,Desktop,Returned,Mumbai Wh,Google Ads,19317.3902,4606.262995,Yes,-15556.1402,2022,1,10,Monday,30.47363438,,,,,,,,CUST02659
CUST00614,56,Female,Home,21-11-2024,01-12-2024,10,Yes,2438.87,3,5,6950.7795,2505.201942,15,44555.33475,Summer Bonanza,0,Ecomexpress,Yes,248.28,Unknown,Loyal,Yes,Unknown,Returned,Ahmedabad Wh,Google Ads,2146.673944,4917.469626,Yes,4804.105556,2024,11,21,Thursday,36.0420287,,,,,,,,CUST02028
CUST03286,43,Female,Health,23-12-2023,25-12-2023,2,No,5975.56,4,0,23902.24,8158.519775,28,59817.60968,Clearance,0,Ecomexpress,Yes,198.9,Upi,New,Yes,Unknown,Delivered,Delhi Wh,Facebook Ads,1637.939342,1983.489989,No,22264.30066,2023,12,23,Saturday,34.13286694,,,,,,,,CUST02052
CUST02741,46,Female,Clothing,06-08-2022,11-08-2022,5,No,576.83,1,20,461.464,-81.01353826,49,1689.509966,Clearance,167.08,Bluedart,Yes,290.58,Unknown,Returning,Yes,Tablet,Cancelled,Bangalore Wh,Google Ads,3789.313862,1949.393298,Yes,-3327.849862,2022,8,6,Saturday,-17.55576562,,,,,,,,CUST00937
CUST03269,42,Female,Sports,16-09-2023,17-09-2023,1,No,3887.12,4,10,13993.632,4461.239429,29,27049.18262,New Year Blast,0,Ecomexpress,No,177.09,Net Banking,Unknown,Yes,Tablet,Delivered,Bangalore Wh,Email,7661.310762,4532.822232,Yes,6332.321238,2023,9,16,Saturday,31.88049699,,,,,,,,CUST00465
CUST01837,19,Female,Home,23-05-2023,30-05-2023,7,No,2643.71,5,0,13218.55,2450.984847,35,117032.4782,Summer Bonanza,642.74,Bluedart,No,196.58,Cash On Delivery,At Risk,No,Mobile,Delivered,Mumbai Wh,Referral,3668.458528,4317.486409,No,9550.091472,2023,5,23,Tuesday,18.54200988,,,,,,,,CUST00908
CUST00189,23,Male,Clothing,02-08-2024,10-08-2024,8,Yes,656.92,4,15,2233.528,373.2402821,17,6064.532792,New Year Blast,0,Indiapost,No,67.6,Cash On Delivery,Returning,Yes,Tablet,Shipped,Ahmedabad Wh,Referral,9384.152537,1939.659487,Yes,-7150.624537,2024,8,2,Friday,16.71079485,,,,,,,,CUST03256
CUST02203,53,Female,Toys,19-08-2023,23-08-2023,4,No,3746.56,1,20,2997.248,1300.468353,26,24428.41825,Festive Sale,0,Indiapost,Yes,179.03,Cash On Delivery,At Risk,No,Tablet,Returned,Mumbai Wh,Referral,6926.216929,473.8527083,Yes,-3928.968929,2023,8,19,Saturday,43.38874704,,,,,,,,CUST00318
CUST01921,28,Female,Home,16-12-2022,28-12-2022,12,Yes,3276.31,3,0,9828.93,3280.350241,36,83980.50236,No Campaign,0,Not Assigned,Yes,196.92,Debit Card,Loyal,No,Tablet,Delivered,Delhi Wh,Referral,19989.96104,2947.997805,No,-10161.03104,2022,12,16,Friday,33.37443894,,,,,,,,CUST03397
CUST01527,61,Female,Toys,28-02-2024,09-03-2024,10,Yes,1023.02,5,10,4603.59,1522.016836,44,43970.80948,Summer Bonanza,519.33,Not Assigned,No,200.05,Debit Card,New,Yes,Tablet,Delivered,Ahmedabad Wh,Referral,7423.354609,4552.114885,Yes,-2819.764609,2024,2,28,Wednesday,33.06152016,,,,,,,,CUST02451
CUST03759,37,Female,Home,09-04-2024,15-04-2024,6,No,4496.79,4,20,14389.728,4820.410136,34,78878.5473,Summer Bonanza,395.12,Ecomexpress,No,256.22,Cash On Delivery,Returning,Yes,Unknown,Returned,Ahmedabad Wh,Email,15883.56921,4049.974491,Yes,-1493.84121,2024,4,9,Tuesday,33.49896632,,,,,,,,CUST00474
CUST02616,28,Male,Sports,29-01-2023,03-02-2023,5,No,5435.97,6,15,27723.447,12763.55964,39,108964.6658,No Campaign,0,Indiapost,No,189.68,Cash On Delivery,Loyal,Yes,Desktop,Delivered,Mumbai Wh,Facebook Ads,4984.623742,4514.770654,Yes,22738.82326,2023,1,29,Sunday,46.03886248,,,,,,,,CUST02227
CUST01174,52,Female,Beauty,02-06-2023,03-06-2023,1,No,5150.42,6,15,26267.142,4967.48653,22,77179.6606,No Campaign,72.04,Ecomexpress,Yes,150.49,Credit Card,Loyal,Yes,Unknown,Delivered,Bangalore Wh,Facebook Ads,1343.383479,496.478604,Yes,24923.75852,2023,6,2,Friday,18.91140852,,,,,,,,CUST01716
CUST01067,47,Male,Health,03-06-2024,10-06-2024,7,Yes,2627.37,6,15,13399.587,5846.632988,11,44312.7891,New Year Blast,0,Delhivery,No,185.88,Net Banking,At Risk,Yes,Desktop,Delivered,Bangalore Wh,Google Ads,777.706319,3006.120829,Yes,12621.88068,2024,6,3,Monday,43.63293427,,,,,,,,CUST02174
CUST02524,42,Female,Beauty,27-03-2022,02-04-2022,6,No,605.5,5,10,2724.75,508.1585744,47,8197.973649,No Campaign,0,Ecomexpress,No,129.92,Net Banking,Loyal,No,Desktop,Delivered,Mumbai Wh,Facebook Ads,14771.5158,1155.589472,Yes,-12046.7658,2022,3,27,Sunday,18.64973206,,,,,,,,CUST00761
CUST00250,41,Male,Electronics,26-06-2024,27-06-2024,1,No,2066.56,4,0,8266.24,1955.20783,40,28182.94311,Festive Sale,196.66,Delhivery,No,72.85,Unknown,At Risk,No,Mobile,Returned,Bangalore Wh,Email,6976.008951,1576.184436,No,1290.231049,2024,6,26,Wednesday,23.65292842,,,,,,,,CUST02902
CUST03718,26,Male,Clothing,27-08-2022,29-08-2022,2,No,336.4,4,0,1345.6,413.6309307,27,4684.457058,Festive Sale,370.36,Bluedart,No,142.13,Upi,Loyal,No,Mobile,Delivered,Bangalore Wh,Referral,16511.93115,2337.512126,No,-15166.33115,2022,8,27,Saturday,30.73951625,,,,,,,,CUST03776
CUST01797,31,Male,Home,19-12-2022,21-12-2022,2,No,4227.76,5,10,19024.92,2811.062339,45,56954.64309,No Campaign,0,Ecomexpress,No,125.92,Credit Card,Loyal,No,Desktop,Delivered,Ahmedabad Wh,Google Ads,17501.91194,3175.455577,Yes,1523.00806,2022,12,19,Monday,14.77568546,,,,,,,,CUST00719
CUST00672,42,Male,Sports,23-12-2024,29-12-2024,6,No,2950.18,1,15,2507.653,149.3251725,39,14852.11605,No Campaign,630.95,Ecomexpress,Yes,261.58,Credit Card,At Risk,Yes,Unknown,Delivered,Bangalore Wh,Referral,6249.004753,1240.364978,Yes,-3741.351753,2024,12,23,Monday,5.954778133,,,,,,,,CUST00910
CUST02486,27,Male,Toys,28-09-2022,08-10-2022,10,Yes,5904.37,1,0,5904.37,1255.9754,46,32027.07051,No Campaign,0,Bluedart,No,142.79,Net Banking,At Risk,No,Tablet,Delivered,Delhi Wh,Organic,5925.043414,1114.509076,No,-20.673414,2022,9,28,Wednesday,21.27196297,,,,,,,,CUST03166
CUST03726,20,Female,Electronics,07-11-2022,19-11-2022,12,Yes,5212.46,4,0,20849.84,6600.649622,34,168863.3969,New Year Blast,219.56,Indiapost,No,99.04,Credit Card,Loyal,Yes,Tablet,Delivered,Delhi Wh,Google Ads,6296.975427,4471.58747,No,14552.86457,2022,11,7,Monday,31.65803489,,,,,,,,CUST00243
CUST01278,25,Male,Sports,09-09-2022,15-09-2022,6,No,3074.06,3,0,9222.18,3115.94731,37,25575.67204,New Year Blast,0,Indiapost,Yes,99.68,Credit Card,Returning,No,Unknown,Delivered,Bangalore Wh,Email,9613.884231,4241.588072,No,-391.704231,2022,9,9,Friday,33.78753516,,,,,,,,CUST01220
